epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1113.43,1.59031,1.11702,1.58082,0.87016,0.75251,0.88048,0.38321,1.87211,1.04535,1.81872,0.00113064,0.00113064,0.00113064
67,1130.1,1.5382,1.12078,1.55932,0.80399,0.82682,0.88162,0.41085,1.72498,1.13552,1.68125,0.00112239,0.00112239,0.00112239
68,1146.75,1.53256,1.09349,1.5445,0.83624,0.83526,0.89952,0.40593,1.81048,1.15955,1.74985,0.00111414,0.00111414,0.00111414
69,1163.42,1.50894,1.04892,1.52522,0.82857,0.82154,0.89569,0.42922,1.77541,1.03754,1.69931,0.00110589,0.00110589,0.00110589
70,1180.1,1.51304,1.07728,1.52597,0.83526,0.81227,0.89421,0.41315,1.80685,1.08126,1.75111,0.00109764,0.00109764,0.00109764
71,1196.73,1.52086,1.10592,1.54557,0.79319,0.7901,0.85347,0.37583,1.89661,1.1354,1.79379,0.00108938,0.00108938,0.00108938
72,1213.43,1.56289,1.11057,1.57661,0.85704,0.78144,0.88682,0.41699,1.76496,1.10488,1.71249,0.00108113,0.00108113,0.00108113
73,1230.13,1.49875,1.0577,1.53064,0.82891,0.77747,0.87473,0.40394,1.8415,1.11285,1.80244,0.00107288,0.00107288,0.00107288
74,1246.76,1.50766,1.08722,1.53654,0.84524,0.84667,0.91064,0.40172,1.90484,1.02169,1.86223,0.00106463,0.00106463,0.00106463
75,1263.43,1.53885,1.06397,1.54346,0.84927,0.78054,0.87485,0.38689,1.83136,1.20646,1.76725,0.00105638,0.00105638,0.00105638
76,1280.1,1.49397,1.04954,1.52785,0.8542,0.82346,0.90049,0.41148,1.83522,1.04949,1.76625,0.00104813,0.00104813,0.00104813
