epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1680.16,1.23124,0.72673,1.34446,0.87555,0.8975,0.90671,0.40491,1.9952,0.848,1.91771,0.00081708,0.00081708,0.00081708
105,1696.17,1.17261,0.69212,1.30428,0.89425,0.87581,0.91621,0.3915,2.03869,0.88632,1.9444,0.000808828,0.000808828,0.000808828
106,1712.2,1.23966,0.71808,1.33753,0.89692,0.8687,0.90102,0.40081,2.0089,0.90922,1.95734,0.000800577,0.000800577,0.000800577
107,1728.19,1.19952,0.72841,1.32346,0.85082,0.85921,0.86622,0.38549,1.99559,0.95067,1.92213,0.000792325,0.000792325,0.000792325
108,1744.24,1.20784,0.72645,1.34167,0.8639,0.85308,0.88811,0.38096,2.02703,0.9938,1.96039,0.000784073,0.000784073,0.000784073
109,1760.24,1.20447,0.73673,1.33087,0.87341,0.85238,0.90068,0.39262,2.01365,0.94539,1.98672,0.000775822,0.000775822,0.000775822
110,1776.22,1.20146,0.73237,1.32225,0.8735,0.82527,0.89295,0.377,2.06698,0.97365,1.97253,0.00076757,0.00076757,0.00076757
111,1792.17,1.22205,0.73223,1.3248,0.88016,0.8554,0.90251,0.37907,2.03488,0.94556,1.97676,0.000759318,0.000759318,0.000759318
112,1808.24,1.22592,0.74998,1.33231,0.89953,0.88553,0.90223,0.39129,2.04074,0.88324,1.96777,0.000751067,0.000751067,0.000751067
113,1824.22,1.17923,0.72246,1.32469,0.87958,0.8805,0.89351,0.37532,2.06273,0.90789,1.99352,0.000742815,0.000742815,0.000742815
114,1840.22,1.17912,0.72285,1.32436,0.88463,0.85552,0.8886,0.38258,2.00968,0.88801,1.9889,0.000734564,0.000734564,0.000734564
115,1856.21,1.16944,0.70007,1.31132,0.8773,0.85652,0.88325,0.38208,2.05625,0.94987,2.00188,0.000726312,0.000726312,0.000726312
116,1872.18,1.19338,0.7322,1.31047,0.86011,0.84038,0.89195,0.37145,2.13075,0.91951,2.08499,0.00071806,0.00071806,0.00071806
117,1888.23,1.18922,0.70301,1.30432,0.88003,0.86903,0.90644,0.37877,2.03799,0.87697,2.00131,0.000709809,0.000709809,0.000709809
118,1904.23,1.17188,0.68521,1.31432,0.87531,0.85515,0.88367,0.3824,2.04144,0.81583,1.98952,0.000701557,0.000701557,0.000701557
119,1920.26,1.20948,0.72873,1.33141,0.91242,0.8717,0.91,0.39284,2.02325,0.85144,2.01306,0.000693305,0.000693305,0.000693305
120,1936.41,1.19926,0.71362,1.32413,0.89241,0.87435,0.8957,0.37884,2.0605,0.86261,1.99522,0.000685054,0.000685054,0.000685054
121,1952.35,1.1606,0.71322,1.29299,0.88432,0.85102,0.89602,0.37813,2.06787,0.8468,1.9918,0.000676802,0.000676802,0.000676802
122,1968.31,1.18176,0.70857,1.32107,0.86788,0.90395,0.91656,0.38701,1.99698,0.83319,1.96044,0.00066855,0.00066855,0.00066855
123,1984.33,1.2256,0.71145,1.32932,0.86697,0.85715,0.8732,0.37321,2.07771,0.88747,2.01177,0.000660299,0.000660299,0.000660299
124,2000.29,1.18575,0.71034,1.31843,0.87277,0.85131,0.88112,0.37121,2.09433,0.91484,2.05843,0.000652047,0.000652047,0.000652047
125,2016.26,1.15917,0.68667,1.30786,0.88752,0.86534,0.88136,0.37442,2.06072,0.90986,2.01115,0.000643795,0.000643795,0.000643795
126,2032.28,1.13004,0.68031,1.2828,0.88395,0.86591,0.89791,0.38325,2.0397,0.90999,1.99591,0.000635544,0.000635544,0.000635544
127,2048.26,1.15973,0.68648,1.30579,0.88114,0.8502,0.90262,0.38706,2.03442,0.90528,1.99422,0.000627292,0.000627292,0.000627292
128,2064.26,1.11794,0.68078,1.28425,0.88424,0.87841,0.89291,0.38023,2.02378,0.87352,2.05513,0.00061904,0.00061904,0.00061904
129,2080.2,1.14212,0.69482,1.29489,0.90923,0.89237,0.9168,0.38432,2.01121,0.84921,2.03499,0.000610789,0.000610789,0.000610789
130,2096.17,1.169,0.69061,1.30599,0.91293,0.88969,0.91621,0.39054,2.0276,0.82997,2.00386,0.000602537,0.000602537,0.000602537
131,2112.14,1.15638,0.66729,1.30758,0.88673,0.90824,0.89855,0.36359,2.06552,0.86401,2.03943,0.000594286,0.000594286,0.000594286
132,2128.13,1.1427,0.65519,1.27876,0.8795,0.84202,0.88576,0.37042,2.07961,0.88503,2.03566,0.000586034,0.000586034,0.000586034
133,2144.14,1.15356,0.67234,1.29091,0.8505,0.91159,0.91067,0.37268,2.06812,0.84637,2.0584,0.000577782,0.000577782,0.000577782
